Name,YearsAppearing,CountsFemale,CountsMale,ProbGender,Upper,Lower
Leja,4,44,0,Female,1,0.919704396241519
Lejla,7,20,0,Female,1,0.838874841947181
Lekai,2,0,8,Male,1,0.67559243511612
Lekeisha,4,16,0,Female,1,0.806392319465564
Lekha,1,1,0,Female,1,0.0512932943875506
Lekisha,2,7,0,Female,1,0.645669564933313
Lela,10,44,0,Female,1,0.919704396241519
Lelaina,1,3,0,Female,1,0.438502968244955
Lelan,6,0,40,Male,1,0.912378398802713
Leland,7,0,732,Male,1,0.994779502058975
Lelani,1,3,0,Female,1,0.438502968244955
Lelia,2,7,0,Female,1,0.645669564933313
Lelie,1,3,0,Female,1,0.438502968244955
Lema,4,24,0,Female,1,0.86202379532502
Lemar,14,0,227,Male,1,0.983358886916072
Lemari,1,0,3,Male,1,0.438502968244955
Lemarr,1,0,3,Male,1,0.438502968244955
Lemmy,1,0,3,Male,1,0.438502968244955
Lemoni,1,1,0,Female,1,0.0512932943875506
Lemuel,15,0,124,Male,1,0.969951384659322
Lemuella,1,4,0,Female,1,0.510109163545403
Len,5,0,16,Male,1,0.806392319465564
Lena,16,1605,0,Female,1,0.997612282552993
Lena-marie,1,3,0,Female,1,0.438502968244955
Lenae,2,7,0,Female,1,0.645669564933313
Lenah,1,4,0,Female,1,0.510109163545403
Lenard,4,0,12,Male,1,0.757505993344759
Lenay,2,8,0,Female,1,0.67559243511612
Lenaya,1,3,0,Female,1,0.438502968244955
Lenayah,1,5,0,Female,1,0.565517535216825
Lene,8,33,0,Female,1,0.895730002457548
Lengnan,1,1,0,Female,1,0.0512932943875506
Leni,8,99,12,Female,0.9370679305104,0.820498203648833
Leni-jane,1,1,0,Female,1,0.0512932943875506
Lenia,1,3,0,Female,1,0.438502968244955
Lenina,1,3,0,Female,1,0.438502968244955
Lenisha,1,3,0,Female,1,0.438502968244955
Lenka,7,38,0,Female,1,0.908190131774416
Lenna,5,18,0,Female,1,0.824120776353342
Lennain,1,0,1,Male,1,0.0512932943875506
Lennan,5,0,22,Male,1,0.851345125391379
Lennard,8,0,42,Male,1,0.916201209134296
Lennart,3,0,7,Male,1,0.645669564933313
Lenni,6,7,22,Male,0.877815775574799,0.578923983821887
Lennie,16,31,263,Male,0.924717458726469,0.854220439706496
Lennin,1,0,1,Male,1,0.0512932943875506
Lennix,1,1,1,Female,0.974353352806225,0.0256466471937753
Lennja,1,1,0,Female,1,0.0512932943875506
Lennon,16,0,2813,Male,1,0.99863625309523
Lennox,16,0,459,Male,1,0.991700270692081
Lenny,16,0,1138,Male,1,0.996635733629201
Leno,1,0,1,Male,1,0.0512932943875506
Lenon,4,0,10,Male,1,0.722467200137111
Lenora,2,4,0,Female,1,0.510109163545403
Lenore,1,3,0,Female,1,0.438502968244955
Lenox,4,0,11,Male,1,0.741167033031968
Lente,1,1,0,Female,1,0.0512932943875506
Lenya,1,4,0,Female,1,0.510109163545403
Leo,16,0,18752,Male,1,0.999795186004897
Leo-james,3,0,24,Male,1,0.86202379532502
Leo-jay,2,0,4,Male,1,0.510109163545403
Leocartel,1,0,1,Male,1,0.0512932943875506
Leodhas,1,0,1,Male,1,0.0512932943875506
Leola,3,19,0,Female,1,0.831820775947384
Leom,1,0,3,Male,1,0.438502968244955
Leon,16,0,13939,Male,1,0.99972448522548
Leon-james,2,0,6,Male,1,0.609665712097835
Leon-jaydon,1,0,1,Male,1,0.0512932943875506
Leon-junior,1,0,3,Male,1,0.438502968244955
Leon-rhys,1,0,1,Male,1,0.0512932943875506
Leona,16,1809,0,Female,1,0.997880973649404
Leonah,1,3,0,Female,1,0.438502968244955
Leonard,16,0,996,Male,1,0.996157932053322
Leonarda,1,3,0,Female,1,0.438502968244955
Leonardas,1,0,3,Male,1,0.438502968244955
Leonardo,16,0,1517,Male,1,0.997474122763807
Leone,14,60,40,Female,0.690598713567541,0.502002586791062
Leonel,7,0,49,Male,1,0.927302180779504
Leoni,16,884,0,Female,1,0.995673260374891
Leoni-may,1,3,0,Female,1,0.438502968244955
Leonid,1,0,4,Male,1,0.510109163545403
Leonidas,15,0,223,Male,1,0.983065446498779
Leonidis,1,0,1,Male,1,0.0512932943875506
Leonie,16,1931,0,Female,1,0.9980145872918
Leonie-leigh,1,1,0,Female,1,0.0512932943875506
Leonit,1,0,3,Male,1,0.438502968244955
Leonna,11,54,0,Female,1,0.933586411909104
Leonne,3,9,0,Female,1,0.700854951580456
Leonni,2,7,0,Female,1,0.645669564933313
Leonnie,13,88,0,Female,1,0.958172933335108
Leonor,9,60,0,Female,1,0.93982814785791
Leonora,15,141,0,Female,1,0.973478181924074
Leony,1,3,0,Female,1,0.438502968244955
Leopold,15,0,109,Male,1,0.965957026248675
Leora,11,50,0,Female,1,0.928652400866641
Leora-jayn,1,1,0,Female,1,0.0512932943875506
Leotrim,2,0,6,Male,1,0.609665712097835
Lera,2,6,0,Female,1,0.609665712097835
Lerato,2,7,0,Female,1,0.645669564933313
Leri,1,0,1,Male,1,0.0512932943875506
Leron,3,0,11,Male,1,0.741167033031968
Lerone,1,0,3,Male,1,0.438502968244955
Leroy,16,0,334,Male,1,0.988629403762038
Lerryn,3,10,0,Female,1,0.722467200137111
Les,2,0,4,Male,1,0.510109163545403
Lesedi,5,12,6,Female,0.837212252491663,0.437494672959451
Leshae,1,3,0,Female,1,0.438502968244955
Leshay,3,12,0,Female,1,0.757505993344759
Lesley,16,267,3,Female,0.996214159907147,0.967847312511687
Lesley-anne,2,7,0,Female,1,0.645669564933313
Leslie,16,20,235,Male,0.94865651657465,0.88196776200715
Leslie-ann,1,1,0,Female,1,0.0512932943875506
Lester,15,0,97,Male,1,0.961905957474052
Leteisha,1,3,0,Female,1,0.438502968244955
Letesha,1,3,0,Female,1,0.438502968244955
Letia,10,37,0,Female,1,0.905942174162798
Letian,1,0,1,Male,1,0.0512932943875506
Leticia,16,284,0,Female,1,0.986654254614909
Leticija,1,4,0,Female,1,0.510109163545403
Letisha,15,166,0,Female,1,0.977382090054057
Letitia,16,369,0,Female,1,0.989696803480909
Letizia,6,22,0,Female,1,0.851345125391379
Letrell,1,0,3,Male,1,0.438502968244955
Lettice,2,9,0,Female,1,0.700854951580456
Lettie,5,18,0,Female,1,0.824120776353342
Letty,2,6,0,Female,1,0.609665712097835
Leuan,4,0,17,Male,1,0.815681864991148
Leusa,2,6,0,Female,1,0.609665712097835
Leutrim,1,0,4,Male,1,0.510109163545403
Lev,6,1,35,Male,0.998575186267012,0.858302813467261
Levan,7,0,26,Male,1,0.871271078140785
Levana,3,13,0,Female,1,0.771904627645802
