Name,Year,F,M
Aarti,2012,1,0
Aarun,1996,0,5
Aarun,1998,0,4
Aarun,1999,0,4
Aarun,2000,0,4
Aarun,2002,0,3
Aarun,2004,0,4
Aarun,2005,0,4
Aarun,2006,0,4
Aarun,2008,0,3
Aarun,2010,0,4
Aarusan,2012,0,3
Aarush,2005,0,3
Aarush,2006,0,7
Aarush,2007,0,22
Aarush,2008,0,27
Aarush,2009,0,25
Aarush,2010,0,45
Aarush,2011,0,53
Aarush,2012,0,39
Aarushi,2002,3,0
Aarushi,2003,3,0
Aarushi,2004,4,0
Aarushi,2005,5,0
Aarushi,2006,7,0
Aarushi,2007,13,0
Aarushi,2008,6,0
Aarushi,2009,12,0
Aarushi,2010,10,0
Aarushi,2011,12,0
Aarushi,2012,6,0
Aarvi,2010,4,0
Aarvin,2009,0,3
Aarya,2003,3,0
Aarya,2004,5,0
Aarya,2005,4,0
Aarya,2006,6,5
Aarya,2007,5,4
Aarya,2008,12,0
Aarya,2009,15,3
Aarya,2010,18,8
Aarya,2011,30,3
Aarya,2012,53,5
Aaryan,1998,0,3
Aaryan,1999,0,3
Aaryan,2002,0,13
Aaryan,2003,0,13
Aaryan,2004,0,23
Aaryan,2005,0,40
Aaryan,2006,0,61
Aaryan,2007,0,55
Aaryan,2008,0,64
Aaryan,2009,0,78
Aaryan,2010,0,71
Aaryan,2011,0,80
Aaryan,2012,0,74
Aaryana,2012,1,0
Aaryanna,2002,3,0
Aaryav,2009,0,1
Aaryav,2012,0,1
Aaryn,2009,0,2
Aaryn,2010,1,1
Aaryn,2011,0,3
Aaryn,2012,0,1
Aarzo,2008,3,0
Aarzoo,1999,4,0
Aarzoo,2000,6,0
Aarzoo,2001,4,0
Aarzoo,2002,5,0
Aarzoo,2003,3,0
Aarzoo,2005,6,0
Aarzoo,2010,3,0
Aarzu,2006,3,0
Aasha,2000,3,0
Aasha,2002,4,0
Aasha,2004,4,0
Aasha,2006,3,0
Aasha,2007,3,0
Aasha,2009,3,0
Aasha,2010,3,0
Aasha,2012,3,0
Aashdon,2010,0,1
Aashi,2005,5,0
Aashi,2006,3,0
Aashi,2007,5,0
Aashi,2008,7,0
Aashi,2009,7,0
Aashi,2010,9,0
Aashi,2011,8,0
Aashi,2012,11,0
Aashif,2012,0,1
Aashika,2006,3,0
Aashika,2007,3,0
Aashika,2008,4,0
Aashir,1999,0,5
Aashir,2004,0,4
Aashir,2005,0,3
Aashir,2006,0,8
Aashir,2007,0,9
Aashir,2008,0,5
Aashir,2009,0,5
Aashir,2010,0,6
Aashir,2011,0,9
Aashir,2012,0,3
Aashish,1997,0,3
Aashish,2001,0,4
Aashish,2006,0,3
Aashish,2007,0,3
Aashish,2009,0,1
Aashish,2010,0,5
Aashish,2011,0,4
Aashish,2012,0,3
Aashiyana,2012,3,0
Aashna,1998,3,0
Aashna,2005,5,0
Aashna,2006,5,0
Aashna,2007,3,0
Aashna,2008,3,0
Aashna,2009,5,0
Aashna,2010,6,0
Aashna,2011,10,0
Aashna,2012,5,0
Aashni,1998,3,0
Aashni,1999,3,0
Aashni,2003,3,0
